DateTime,1D,1W,2W,1M,3M,9M,1Y
2019-02-28,2.584,2.658,2.73,2.694,2.751,2.85,2.951
2019-02-27,2.654,2.75,2.887,2.686,2.756,2.852,2.954
2019-02-26,2.705,2.745,2.862,2.681,2.756,2.851,2.953
2019-02-25,2.605,2.658,2.628,2.659,2.752,2.85,2.953
2019-02-22,2.431,2.6,2.518,2.656,2.749,2.854,2.955
2019-02-21,2.03,2.399,2.409,2.651,2.749,2.858,2.958
2019-02-20,1.854,2.377,2.398,2.655,2.759,2.864,2.966
2019-02-19,1.967,2.398,2.404,2.676,2.778,2.876,2.979
2019-02-18,1.8224,2.395,2.398,2.687,2.797,2.885,2.989
2019-02-15,1.713,2.351,2.393,2.698,2.802,2.898,2.996
2019-02-14,1.721,2.33,2.397,2.714,2.83,2.908,3.015
2019-02-13,1.722,2.362,2.442,2.732,2.852,2.938,3.044
2019-02-12,2.017,2.513,2.497,2.76,2.872,2.961,3.079
2019-02-11,2.265,2.596,2.522,2.785,2.898,2.995,3.118
2019-02-01,2.1,2.722,2.843,2.835,2.9,3.017,3.168
