,期权论坛发布,手动计算
0,22.58,23.207092810276112
1,22.36,22.525552147815024
2,32.8,25.19823843632958
3,30.98,31.00287492519832
4,30.93,41.79978700424902
5,29.13,24.26859013275326
6,27.32,27.494675626098736
7,29.6,29.797125785141944
8,30.52,30.619161955478564
9,31.51,31.614407467630635
10,32.65,32.84118595438888
11,33.02,33.12909482848227
12,30.11,30.366260802314198
13,30.11,30.386536576616685
14,30.0,30.319659140548477
15,28.2,29.132321349741186
16,27.19,27.386776269309543
17,27.39,28.217195384142258
18,29.85,28.90292285609981
19,29.37,29.03728476683987
